nombre_estacion,id_comuna
QUIRNO,5
MARTÍ Y DIRECTORIO,5
PLAZA RAMON FALCON,5
PARQUE AVELLANEDA,5
ENSENADA,5
PARQUE AVELLANEDA II,5
320 - QUIRNO,5
322 - MARTÍ Y DIRECTORIO,5
330 - PARQUE AVELLANEDA,5
360 - PLAZA RAMON FALCON,5
368 - ENSENADA,5
323 - PARQUE AVELLANEDA II,5
PLAZA VELEZ SARSFIELD,6
CONCORDIA,6
LAS VICTORIAS,6
RAMÓN FALCON,6
353 - PLAZA VELEZ SARSFIELD,6
324 - LAS VICTORIAS,6
314 - RAMÓN FALCON,6
311 - CONCORDIA,6
PLAZA SAENZ PEÑA,7
VILLA DEL PARQUE,7
ARREGUI Y TERRADA,7
TERRERO,7
BIARRITZ,7
NOGOYA Y ARGERICH,7
CAMPANA,7
JUAN AGUSTIN GARCIA,7
ARTIGAS Y MELINCUE,7
PLAZA ARENALES,7
BELAUSTEGUI,7
PLAZA ARISTÓBULO DEL VALLE,7
BEIRO Y SAN MARTÍN,7
MARGARIÑOS CERVANTES,7
BEIRO,7
MARGARIÑOS CERVANTES Y ARGERICH,7
301 - ARREGUI Y TERRADA,7
287 - BELAUSTEGUI,7
204 - BIARRITZ,7
207 - PLAZA ARENALES,7
216 - MARGARIÑOS CERVANTES Y ARGERICH,7
349 - PLAZA SAENZ PEÑA,7
210 - TERRERO,7
201 - PEPIRI,7
268 - PLAZA ARISTÓBULO DEL VALLE,7
348 - VILLA DEL PARQUE,7
231 - MARGARIÑOS CERVANTES,7
218 - CAMPANA,7
315 - BEIRO Y SAN MARTÍN,7
202 - NOGOYA Y ARGERICH,7
203 - BEIRO,7
308 - ARTIGAS Y MELINCUE,7
GARCIA DEL RIO,8
CNEL. JUAN CRUZ CZETZ,8
PLAZA MARCOS SASTRE,8
MONROE,8
JUAN MANUEL DE ROSAS,8
VIDAL,8
TAMBORINI,8
FREIRE,8
BALBÍN,8
HOLMBERG,8
COGHLAN,8
TRONADOR Y GARCÍA DEL RÍO,8
PLAZA ECHEVERRIA,8
PLAZA MARTIN RODRIGUEZ,8
VALDENEGRO,8
399 - GARCIA DEL RIO,8
233 - MONROE,8
263 - PLAZA ECHEVERRIA,8
239 - VIDAL,8
252 - TAMBORINI,8
305 - PLAZA MARTIN RODRIGUEZ,8
281 - VILLA URQUIZA,8
296 - FREIRE,8
283 - CNEL. JUAN CRUZ CZETZ,8
297 - TRONADOR Y GARCÍA DEL RÍO,8
234 - VALDENEGRO,8
